Time,id,pm1,pm2.5,pm4,pm10
11:30:00,1064800,13,14,15,15
11:40:00,1064800,16,18,18,19
11:40:00,1064800,16,17,18,18
11:40:00,1064800,18,19,20,20
11:40:00,1064800,16,17,18,18
11:40:00,1064800,13,14,15,15
11:40:00,1064800,14,15,15,15
11:40:00,1064800,11,12,12,12
11:40:00,1064800,13,13,14,14
11:40:00,1064800,13,14,14,14
11:40:00,1064800,14,15,15,15
11:40:00,1064800,12,13,13,13
11:50:00,1064800,13,14,14,14
11:50:00,1064800,11,12,12,12
11:50:00,1064800,11,11,11,11
11:50:00,1064800,11,11,11,11
11:50:00,1064800,13,14,14,15
11:50:00,1064800,12,13,13,13
11:50:00,1064800,11,12,12,12
11:50:00,1064800,12,13,14,14
11:50:00,1064800,13,14,15,15
11:50:00,1064800,11,12,12,13
12:00:00,1064800,13,14,14,15
12:00:00,1064800,14,15,15,15
12:00:00,1064800,12,13,13,13
12:00:00,1064800,9,10,10,10
12:00:00,1064800,13,14,14,14
12:00:00,1064800,12,13,13,13
12:00:00,1064800,13,13,13,13
12:00:00,1064800,12,13,13,13
12:00:00,1064800,12,13,13,13
12:00:00,1064800,11,11,11,11
12:10:00,1064800,11,12,12,12
12:10:00,1064800,12,13,13,13
12:10:00,1064800,11,12,12,12
12:10:00,1064800,12,13,13,13
12:10:00,1064800,13,13,14,14
12:10:00,1064800,9,10,10,10
12:10:00,1064800,11,11,11,11
12:10:00,1064800,9,9,9,10
12:10:00,1064800,9,9,9,9
12:10:00,1064800,9,9,9,10
12:10:00,1064800,10,11,11,11
12:20:00,1064800,9,9,9,10
12:20:00,1064800,11,11,11,11
12:20:00,1064800,11,12,12,12
12:20:00,1064800,10,11,11,11
12:20:00,1064800,8,8,9,9
12:20:00,1064800,9,9,9,9
12:20:00,1064800,11,11,11,11
12:20:00,1064800,11,12,12,12
12:20:00,1064800,11,12,12,12
12:20:00,1064800,9,10,10,10
12:30:00,1064800,11,12,12,12
12:30:00,1064800,11,12,12,12
12:30:00,1064800,10,11,11,11
12:30:00,1064800,10,11,11,11
12:30:00,1064800,11,12,12,12
12:30:00,1064800,11,12,12,12
12:30:00,1064800,13,14,14,14
12:30:00,1064800,10,11,11,11
12:30:00,1064800,11,12,12,12
12:30:00,1064800,11,12,12,12
12:30:00,1064800,12,13,13,13
12:40:00,1064800,9,10,10,10
12:40:00,1064800,10,10,10,10
12:40:00,1064800,11,12,12,12
12:40:00,1064800,10,10,11,11
12:40:00,1064800,9,10,10,10
12:40:00,1064800,9,10,10,10
12:40:00,1064800,6,6,7,7
12:40:00,1064800,7,7,7,7
12:40:00,1064800,8,9,9,9
12:40:00,1064800,8,8,9,9
12:50:00,1064800,9,9,9,10
12:50:00,1064800,6,7,7,7
12:50:00,1064800,7,7,7,7
12:50:00,1064800,7,7,8,8
12:50:00,1064800,7,8,8,8
12:50:00,1064800,6,7,7,7
12:50:00,1064800,7,8,8,8
12:50:00,1064800,5,6,6,6
12:50:00,1064800,5,6,6,6
12:50:00,1064800,6,7,7,7
13:00:00,1064800,7,7,8,8
13:00:00,1064800,7,8,8,8
13:00:00,1064800,7,7,8,8
13:00:00,1064800,4,5,5,5
13:00:00,1064800,5,6,6,6
13:00:00,1064800,5,6,6,7
13:00:00,1064800,6,7,7,7
13:00:00,1064800,6,6,7,7
13:00:00,1064800,5,5,6,6
13:00:00,1064800,4,5,5,5
13:00:00,1064800,5,5,6,6
13:10:00,1064800,4,5,5,6
13:10:00,1064800,5,6,7,7
13:10:00,1064800,5,6,7,7
13:10:00,1064800,6,7,8,8
13:10:00,1064800,5,6,7,7
13:10:00,1064800,5,6,7,7
13:10:00,1064800,4,5,6,6
13:10:00,1064800,4,5,6,6
13:10:00,1064800,4,5,5,6
13:10:00,1064800,5,6,7,7
13:20:00,1064800,5,7,7,8
13:20:00,1064800,4,5,6,6
13:20:00,1064800,5,6,6,6
13:20:00,1064800,5,6,6,7
13:20:00,1064800,4,5,6,6
13:20:00,1064800,4,5,6,6
13:20:00,1064800,4,5,6,7
13:20:00,1064800,5,6,7,8
13:20:00,1064800,4,5,6,6
13:20:00,1064800,4,6,7,8
13:30:00,1064800,4,6,8,8
13:30:00,1064800,4,5,6,7
13:30:00,1064800,3,5,6,6
13:30:00,1064800,5,7,8,9
13:30:00,1064800,5,7,9,10
13:30:00,1064800,4,6,8,9
13:30:00,1064800,4,6,8,9
13:30:00,1064800,4,6,7,8
13:30:00,1064800,3,5,6,7
13:30:00,1064800,4,6,7,8
13:30:00,1064800,4,5,7,7
13:40:00,1064800,4,6,8,8
13:40:00,1064800,5,7,9,10
13:40:00,1064800,4,6,8,8
13:40:00,1064800,4,6,8,9
13:40:00,1064800,4,6,7,8
13:40:00,1064800,4,5,7,7
13:40:00,1064800,4,6,8,9
13:40:00,1064800,4,6,8,8
13:40:00,1064800,4,6,7,8
13:40:00,1064800,4,7,8,9
13:50:00,1064800,4,6,8,9
13:50:00,1064800,4,6,7,8
13:50:00,1064800,4,5,7,7
13:50:00,1064800,4,7,8,9
13:50:00,1064800,4,6,7,8
13:50:00,1064800,4,6,7,8
13:50:00,1064800,4,6,8,9
13:50:00,1064800,3,6,7,8
13:50:00,1064800,4,6,7,8
13:50:00,1064800,4,7,8,9
14:00:00,1064800,4,7,9,9
14:00:00,1064800,4,6,7,8
14:00:00,1064800,4,5,6,7
14:00:00,1064800,5,7,8,9
14:00:00,1064800,5,7,9,9
14:00:00,1064800,3,5,6,6
14:00:00,1064800,4,7,8,9
14:00:00,1064800,4,5,7,7
14:00:00,1064800,4,6,8,9
14:00:00,1064800,4,6,8,9
14:10:00,1064800,5,7,9,10
14:10:00,1064800,4,6,7,8
14:10:00,1064800,3,5,6,7
14:10:00,1064800,4,6,7,8
14:10:00,1064800,4,6,8,9
14:10:00,1064800,4,6,7,8
14:10:00,1064800,4,6,7,8
14:10:00,1064800,4,5,7,7
14:10:00,1064800,4,6,7,8
14:10:00,1064800,4,6,8,9
14:20:00,1064800,4,6,8,8
14:20:00,1064800,4,7,9,10
14:20:00,1064800,4,6,8,9
14:20:00,1064800,4,6,8,9
14:20:00,1064800,4,6,8,8
14:20:00,1064800,4,6,8,9
14:20:00,1064800,4,6,8,9
14:20:00,1064800,4,6,8,9
14:20:00,1064800,4,6,8,9
14:20:00,1064800,4,7,9,10
14:30:00,1064800,3,6,8,9
14:30:00,1064800,3,5,7,8
14:30:00,1064800,4,6,7,8
14:30:00,1064800,4,6,7,8
14:30:00,1064800,4,6,7,8
14:30:00,1064800,4,6,7,7
14:30:00,1064800,4,6,7,8
14:30:00,1064800,4,6,8,9
14:30:00,1064800,3,5,6,7
14:30:00,1064800,3,5,6,7
14:30:00,1064800,4,6,8,8
14:40:00,1064800,4,5,7,8
14:40:00,1064800,3,5,6,7
14:40:00,1064800,2,4,5,6
14:40:00,1064800,3,4,6,7
14:40:00,1064800,3,5,6,7
14:40:00,1064800,3,5,6,7
14:40:00,1064800,3,6,8,9
14:40:00,1064800,3,5,7,8
14:40:00,1064800,3,5,7,8
14:40:00,1064800,3,5,7,8
14:50:00,1064800,3,5,7,8
14:50:00,1064800,3,5,7,8
14:50:00,1064800,3,6,8,9
14:50:00,1064800,3,6,8,9
14:50:00,1064800,3,5,7,8
14:50:00,1064800,2,4,6,7
14:50:00,1064800,2,4,6,6
14:50:00,1064800,3,6,8,9
14:50:00,1064800,3,5,6,7
14:50:00,1064800,3,5,6,7
15:00:00,1064800,3,5,6,7
15:00:00,1064800,3,5,7,8
15:00:00,1064800,3,5,7,7
15:00:00,1064800,3,6,8,9
15:00:00,1064800,2,4,5,6
15:00:00,1064800,3,5,6,7
15:00:00,1064800,2,4,5,6
15:00:00,1064800,2,4,5,6
15:00:00,1064800,3,5,7,8
15:00:00,1064800,3,4,6,7
15:00:00,1064800,3,5,6,7
15:10:00,1064800,3,5,6,7
15:10:00,1064800,2,4,5,5
15:10:00,1064800,3,5,6,7
15:10:00,1064800,2,3,5,5
15:10:00,1064800,2,4,6,6
15:10:00,1064800,3,5,6,7
15:10:00,1064800,3,5,7,7
15:10:00,1064800,2,4,5,6
15:10:00,1064800,3,6,8,9
15:10:00,1064800,3,6,8,9
15:20:00,1064800,3,5,6,7
15:20:00,1064800,3,5,6,7
15:20:00,1064800,3,5,6,7
15:20:00,1064800,2,4,5,6
15:20:00,1064800,2,4,6,7
15:20:00,1064800,3,5,6,7
15:20:00,1064800,2,3,4,4
15:20:00,1064800,2,3,4,4
15:20:00,1064800,2,4,5,5
15:20:00,1064800,2,3,4,5
15:20:00,1064800,2,4,5,5
15:30:00,1064800,2,4,5,6
15:30:00,1064800,2,4,6,6
15:30:00,1064800,2,3,4,5
15:30:00,1064800,1,3,3,4
15:30:00,1064800,2,3,5,5
